model,fpr,tpr
LR (claim amount only),0.1927710843373494,0.2688953488372093
LR (claim amount only),0.19578313253012047,0.2688953488372093
LR (claim amount only),0.19578313253012047,0.2703488372093023
LR (claim amount only),0.19615963855421686,0.2703488372093023
LR (claim amount only),0.19615963855421686,0.27180232558139533
LR (claim amount only),0.1980421686746988,0.27180232558139533
LR (claim amount only),0.1980421686746988,0.27325581395348836
LR (claim amount only),0.19823042168674698,0.27325581395348836
LR (claim amount only),0.19823042168674698,0.2747093023255814
LR (claim amount only),0.19917168674698796,0.2747093023255814
LR (claim amount only),0.19917168674698796,0.2761627906976744
LR (claim amount only),0.1999246987951807,0.2761627906976744
LR (claim amount only),0.1999246987951807,0.27761627906976744
LR (claim amount only),0.2003012048192771,0.27761627906976744
LR (claim amount only),0.2003012048192771,0.27906976744186046
LR (claim amount only),0.20199548192771086,0.27906976744186046
LR (claim amount only),0.20199548192771086,0.2805232558139535
LR (claim amount only),0.2035015060240964,0.2805232558139535
LR (claim amount only),0.2035015060240964,0.2819767441860465
LR (claim amount only),0.2053840361445783,0.2819767441860465
LR (claim amount only),0.2053840361445783,0.28343023255813954
LR (claim amount only),0.2083960843373494,0.28343023255813954
LR (claim amount only),0.2083960843373494,0.28488372093023256
LR (claim amount only),0.20877259036144577,0.28488372093023256
LR (claim amount only),0.20877259036144577,0.2863372093023256
LR (claim amount only),0.20990210843373494,0.2863372093023256
LR (claim amount only),0.20990210843373494,0.2877906976744186
LR (claim amount only),0.21046686746987953,0.2877906976744186
LR (claim amount only),0.21046686746987953,0.28924418604651164
LR (claim amount only),0.21121987951807228,0.28924418604651164
LR (claim amount only),0.21121987951807228,0.29069767441860467
LR (claim amount only),0.21272590361445784,0.29069767441860467
LR (claim amount only),0.21272590361445784,0.2921511627906977
LR (claim amount only),0.21536144578313254,0.2921511627906977
LR (claim amount only),0.21536144578313254,0.2936046511627907
LR (claim amount only),0.2155496987951807,0.2936046511627907
LR (claim amount only),0.2155496987951807,0.29505813953488375
LR (claim amount only),0.21780873493975902,0.29505813953488375
LR (claim amount only),0.21780873493975902,0.29651162790697677
LR (claim amount only),0.21987951807228914,0.29651162790697677
LR (claim amount only),0.21987951807228914,0.29796511627906974
LR (claim amount only),0.22270331325301204,0.29796511627906974
LR (claim amount only),0.22270331325301204,0.29941860465116277
LR (claim amount only),0.22326807228915663,0.29941860465116277
LR (claim amount only),0.22326807228915663,0.3023255813953488
LR (claim amount only),0.22345632530120482,0.3023255813953488
LR (claim amount only),0.22345632530120482,0.30377906976744184
LR (claim amount only),0.2238328313253012,0.30377906976744184
LR (claim amount only),0.2238328313253012,0.30523255813953487
LR (claim amount only),0.22722138554216867,0.30523255813953487
LR (claim amount only),0.22722138554216867,0.3081395348837209
LR (claim amount only),0.22740963855421686,0.3081395348837209
LR (claim amount only),0.22740963855421686,0.311046511627907
LR (claim amount only),0.23079819277108435,0.311046511627907
LR (claim amount only),0.23079819277108435,0.3125
LR (claim amount only),0.2315512048192771,0.3125
LR (claim amount only),0.2315512048192771,0.313953488372093
LR (claim amount only),0.2347515060240964,0.313953488372093
LR (claim amount only),0.2347515060240964,0.31540697674418605
LR (claim amount only),0.23569277108433734,0.31540697674418605
LR (claim amount only),0.23569277108433734,0.3168604651162791
LR (claim amount only),0.2396460843373494,0.3168604651162791
LR (claim amount only),0.2396460843373494,0.3183139534883721
LR (claim amount only),0.2398343373493976,0.3183139534883721
LR (claim amount only),0.2398343373493976,0.31976744186046513
LR (claim amount only),0.24115210843373494,0.31976744186046513
